name,year,abv,size,grape type,country,wine_type,style,at its best,wine maker,price per bottle,num_review,rating,url
L'Impression VDF White Blend 2020,2020,13.00%,75cl,Grenache Blanc,France,White,Aromatic Whites,Now - End 2023,Guillaume Létang,12.99,455,4 out of 5 stars from 455 customers,https://www.virginwines.co.uk/wine/Z39825100009/LImpression-VDF-White-Blend
Sherwood Estate Stratum Pinot Gris 2020,2020,14.00%,75cl,Pinot Gris,New Zealand,White,Aromatic Whites,Now - End 2025,Petter Evans,14.99,23,4.2 out of 5 stars from 23 customers,https://www.virginwines.co.uk/wine/Z39718101434/Sherwood-Estate-Stratum-Pinot-Gris
Wild Crush Torch Lily Swartland Shiraz 2019,2019,14.00%,75cl,Shiraz / Syrah,South Africa,Red,Full Bodied Reds,Now - End 2023,JD Rossouw,10.99,59,4 out of 5 stars from 59 customers,https://www.virginwines.co.uk/wine/Z39712100009/Wild-Crush-Torch-Lily-Swartland-Shiraz
Wild Crush Num Num Shiraz 2019,2019,12.50%,75cl,Shiraz / Syrah,South Africa,Red,Full Bodied Reds,Now - End 2022,JD Rossouw,10.99,78,3.4 out of 5 stars from 78 customers,https://www.virginwines.co.uk/wine/Z39713100009/Wild-Crush-Num-Num-Shiraz
Wild Crush Devil's Claw Coastal Blend 2018,2018,13.50%,75cl,Grenache / Garnacha blend,South Africa,Red,Full Bodied Reds,Now - End 2023,JD Rossouw,13.99,25,3.6 out of 5 stars from 25 customers,https://www.virginwines.co.uk/wine/Z39714100009/Wild-Crush-Devils-Claw-Coastal-Blend
De Martino Tres Volcanes 2017,2017,13.50%,75cl,Chardonnay,Chile,White,Dry and Crisp Whites,Now - End 2023,Marcelo Retamal and Eduardo Jordan,24.99,3,4.7 out of 5 stars from 3 customers,https://www.virginwines.co.uk/wine/Z38978100741/De-Martino-Tres-Volcanes
De Martino Vigno Carignan 2019,2019,14.00%,75cl,Carignan,Chile,Red,Full Bodied Reds,Now - End 2029,Marcelo Retamal and Eduardo Jordan,29.99,2,3 out of 5 stars from 2 customers,https://www.virginwines.co.uk/wine/Z38979100741/De-Martino-Vigno-Carignan
Sherwood Estate Stratum Waipara Valley Sauvignon Blanc 2021,2021,12.50%,75cl,Sauvignon Blanc,New Zealand,White,Fruity Whites,Now - End 2026,Dayne and Jill Sherwood,12.99,413,4.3 out of 5 stars from 413 customers,https://www.virginwines.co.uk/wine/Z35760101434/Sherwood-Estate-Stratum-Waipara-Valley-Sauvignon-Blanc
Domaine Baumard Savennières Clos St Yves 2018,2018,13.00%,75cl,Chenin Blanc,France,White,Aromatic Whites,Now - End 2030,Florent Baumard,29.99,4,4.2 out of 5 stars from 4 customers,https://www.virginwines.co.uk/wine/Z39861101434/Domaine-Baumard-Savennieres-Clos-St-Yves
B Francois Sparkling NV,NV,12.00%,75cl,Chardonnay blend,France,Sparkling,Sparkling Non Champagne,Within 2 years of purchase,Laurence Desse,14.99,37,4 out of 5 stars from 37 customers,https://www.virginwines.co.uk/wine/Z39801101935/B-Francois-Sparkling
