name,Mix Case?,abv,year,size,country,wine_type,price,num_review,rating,url
le meilleur des 2 mondes 2017,0,12.5,2017,750.0,France,Red Wine,19.49,12,3.5,https://www.laithwaites.co.uk/product/le-meilleur-des-2-mondes-2017/4140117
Sierra del Plata Malbec 2021,0,13.0,2021,750.0,Argentina,Red Wine,10.99,94,3.8,https://www.laithwaites.co.uk/product/Sierra-del-Plata-Malbec-2021/3755621
Patronus Barossa Valley Shiraz 2017,0,14.5,2017,750.0,Australia,Red Wine,15.99,2,5.0,https://www.laithwaites.co.uk/product/Patronus-Barossa-Valley-Shiraz-2017/4185017
Portmann Cabernet Sauvignon 2020,0,14.0,2020,750.0,Australia,Red Wine,14.49,10,4.1,https://www.laithwaites.co.uk/product/Portmann-Cabernet-Sauvignon-2020/4174420
Rapaura Springs Marlborough Pinot Noir Reserve 2019,0,13.0,2019,750.0,New Zealand,Red Wine,21.0,21,3.4,https://www.laithwaites.co.uk/product/Rapaura-Springs-Marlborough-Pinot-Noir-Reserve-2019/3757919
Maison Joseph Drouhin Givry 2018,0,13.0,2018,750.0,France,Red Wine,21.0,6,4.2,https://www.laithwaites.co.uk/product/Maison-Joseph-Drouhin-Givry-2018/0105818
Château Les Grands Maréchaux 2012,0,13.5,2012,750.0,France,Red Wine,16.99,31,4.1,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Les-Grands-Mar%C3%A9chaux-2012/1914112
Merago 2015,0,14.0,2015,750.0,Italy,Red Wine,17.99,6,3.5,https://www.laithwaites.co.uk/product/Merago-2015/4165815
Capital Z Zinfandel 2020,0,15.0,2020,750.0,USA,Red Wine,14.49,15,3.7,https://www.laithwaites.co.uk/product/Capital-Z-Zinfandel-2020/3541120
Ginestières Merlot 2020,0,14.0,2020,750.0,France,Red Wine,10.99,826,3.7,https://www.laithwaites.co.uk/product/Ginesti%C3%A8res-Merlot-2020/0324120
Château Vartely Dealu Nucului Cabernet Sauvignon 2020,0,13.5,2020,750.0,Moldova,Red Wine,11.99,444,3.7,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Vartely-Dealu-Nucului-Cabernet-Sauvignon-2020/2275120
Black Duck Durif 2021,0,14.5,2021,750.0,Australia,Red Wine,12.99,445,3.9,https://www.laithwaites.co.uk/product/Black-Duck-Durif-2021/3728821
The Waxed Bat Reserve 2020,0,13.5,2020,750.0,Argentina,Red Wine,15.99,455,4.3,https://www.laithwaites.co.uk/product/The-Waxed-Bat-Reserve-2020/0576220
Le Secret des Etoiles Pinot Noir 2021,0,12.5,2021,750.0,France,Red Wine,14.99,37,3.8,https://www.laithwaites.co.uk/product/Le-Secret-des-Etoiles-Pinot-Noir-2021/1419721
The Boxer Durif 2020,0,14.0,2020,750.0,Australia,Red Wine,12.99,363,4.2,https://www.laithwaites.co.uk/product/The-Boxer-Durif-2020/0061820
Cabalié Origine 2021,0,14.0,2021,750.0,France,Red Wine,16.99,10,4.5,https://www.laithwaites.co.uk/product/Cabali%C3%A9-Origine-2021/3964821
William Knuttel Alexander Valley Cabernet Sauvignon 2019,0,14.5,2019,750.0,USA,Red Wine,19.99,8,4.4,https://www.laithwaites.co.uk/product/William-Knuttel-Alexander-Valley-Cabernet-Sauvignon-2019/4169719
Château de Colombe Castillon Côtes de Bordeaux 2020,0,14.5,2020,750.0,France,Red Wine,14.99,91,4.3,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-de-Colombe-Castillon-C%C3%B4tes-de-Bordeaux-2020/3229220
Rex Mundi Cuvée Cathare 2021,0,14.5,2021,750.0,France,Red Wine,17.99,283,4.3,https://www.laithwaites.co.uk/product/Rex-Mundi-Cuv%C3%A9e-Cathare-2021/3263521
Aluado Alicante Bouschet (187ml) 2020,0,13.0,2020,187.0,Portugal,Red Wine,3.29,4,5.0,https://www.laithwaites.co.uk/product/Aluado-Alicante-Bouschet-(187ml)-2020/4105920
Familia Martínez Bujanda Gran Reserva 2010,0,14.0,2010,750.0,Spain,Red Wine,21.0,57,3.4,https://www.laithwaites.co.uk/product/Familia-Mart%C3%ADnez-Bujanda-Gran-Reserva-2010/1495610
Le Malbec d’Hervé 2021,0,13.5,2021,750.0,France,Red Wine,11.99,164,4.1,https://www.laithwaites.co.uk/product/Le-Malbec-d%E2%80%99Herv%C3%A9-2021/3965621
Manciata Generosa 2020,0,12.5,2020,750.0,Italy,Red Wine,11.99,94,4.0,https://www.laithwaites.co.uk/product/Manciata-Generosa-2020/3953820
Le Géant du Pic 2021,0,13.0,2021,750.0,France,Red Wine,12.99,7,4.6,https://www.laithwaites.co.uk/product/Le-G%C3%A9ant-du-Pic-2021/4229321
El Bombero Gran Reserva 2016,0,14.5,2016,750.0,Spain,Red Wine,13.99,315,3.9,https://www.laithwaites.co.uk/product/El-Bombero-Gran-Reserva-2016/2177516
