wine_type,size (cL),name,price,rating,num_review,country,abv,year,url
white,75,Mirabeau La Folie Sparkling Rose,12,0,0,France,12.5,NV,https://groceries.morrisons.com/products/mirabeau-la-folie-sparkling-rose-591431011
white,75,Morrisons The Best Vermentino,7,3,8,Italy,13.5,2017,https://groceries.morrisons.com/products/morrisons-the-best-vermentino-248291011
white,75,Eleanor La Reine Piquepoul - Terret Cotes De Thau IGP,8,0,0,France,12.5,,https://groceries.morrisons.com/products/eleanor-la-reine-piquepoul-terret-cotes-de-thau-igp-595784011
white,75,Hardys Nottage Hill Sauvignon Blanc,6.5,1,1,Australia,12.5,2017,https://groceries.morrisons.com/products/hardys-nottage-hill-sauvignon-blanc-551916011
white,75,McGuigan Black Label Sauvignon Blanc,6.75,0,0,Australia,12,2020,https://groceries.morrisons.com/products/mcguigan-black-label-sauvignon-blanc-591432011
white,75,Sorso Pinot Grigio,4.99,4.6,10,Italy,12.5,2018,https://groceries.morrisons.com/products/sorso-pinot-grigio-273277011
white,75,Villa Maria Private Bin Sauvignon Blanc,10.5,4.4,13,Marlborough,13.5,2021,https://groceries.morrisons.com/products/villa-maria-private-bin-sauvignon-blanc-211701011
white,75,Morrisons Sauvignon Blanc,4.89,5,3,Chile,12,,https://groceries.morrisons.com/products/morrisons-sauvignon-blanc-421256011
white,75,Morrisons Soave,4.89,5,4,Italy,11,,https://groceries.morrisons.com/products/morrisons-soave-421206011
white,75,64 Edge Sauvignon Blanc,5.49,3,1,South Africa,13,2021,https://groceries.morrisons.com/products/64-edge-sauvignon-blanc-570043011
white,75,Barefoot Pinot Grigio White Wine,6.75,4.8,8,United States,12,NV,https://groceries.morrisons.com/products/barefoot-pinot-grigio-white-wine-243689011
white,75,Schmitt Liebfraumilch,4.49,2,1,Germany,9,,https://groceries.morrisons.com/products/schmitt-liebfraumilch-421228011
white,75,The Shy Pig Crisp White,4.79,3.3,15,Australia,10.5,NV,https://groceries.morrisons.com/products/the-shy-pig-crisp-white-273013011
white,75,Yellow Tail Chardonnay,7,0,0,Australia,13,2020,https://groceries.morrisons.com/products/yellow-tail-chardonnay-523753011
white,75,Graham Norton Sauvignon Blanc,6,0,0,South Africa,12.5,2021,https://groceries.morrisons.com/products/graham-norton-sauvignon-blanc-577569011
white,75,Schmitt Hock,4.49,2.8,5,Germany,9,,https://groceries.morrisons.com/products/schmitt-hock-421229011
white,75,Fairbank Wines Sauvignon Blanc,7,0,0,South Africa,12.5,2021,https://groceries.morrisons.com/products/fairbank-wines-sauvignon-blanc-500613011
white,75,Oyster Bay Sauvignon Blanc,10.5,4.8,8,New Zealand,13,2020,https://groceries.morrisons.com/products/oyster-bay-sauvignon-blanc-119932011
white,75,Cape Shadow Sauvignon Blanc,4.99,2.5,2,South Africa,12.5,2020,https://groceries.morrisons.com/products/cape-shadow-sauvignon-blanc-568752011
white,100,Felix Solis Sol de Espana White Wine,5.19,3.3,3,Spain,11,NV,https://groceries.morrisons.com/products/felix-solis-sol-de-espana-white-wine-119870011
white,75,19 Crimes Chardonnay,9,4.2,13,Australia,13.5,2020,https://groceries.morrisons.com/products/19-crimes-chardonnay-470781011
white,75,Oxford Landing Sauvignon Blanc,6.75,5,3,Australia,10.5,2021,https://groceries.morrisons.com/products/oxford-landing-sauvignon-blanc-119903011
white,75,Oxford Landing Chardonnay,6.75,4.5,2,Australia,13,2020,https://groceries.morrisons.com/products/oxford-landing-chardonnay-119901011
white,75,Lindeman's Bin 65 Chardonnay,6.5,3.7,3,Australia,13,2017,https://groceries.morrisons.com/products/lindeman-s-bin-65-chardonnay-212329011
white,75,Torres Vina Sol,7.5,4.5,4,Spain,12,2020,https://groceries.morrisons.com/products/torres-vina-sol-119871011
white,75,Silver Bay Point White,3.89,3.6,5,British,8,Non Vintage,https://groceries.morrisons.com/products/silver-bay-point-white-119984011
white,75,Gallo Family Vineyards Moscato White Wine,6,5,1,California,9,2019,https://groceries.morrisons.com/products/gallo-family-vineyards-moscato-white-wine-212334011
white,75,Silver Mine Sauvignon Blanc,4.79,4,1,Bulgaria,12,2021,https://groceries.morrisons.com/products/silver-mine-sauvignon-blanc-587791011
white,75,Kendermanns Riesling Spatlese,8.5,4.3,7,Germany,9,2020,https://groceries.morrisons.com/products/kendermanns-riesling-spatlese-261858011
white,75,Wolf Blass Red Label Chardonnay Semillon,7,3.7,3,Australia,12.5,2014,https://groceries.morrisons.com/products/wolf-blass-red-label-chardonnay-semillon-119916011
white,75,Brancott Estate Sauvignon Blanc White Wine,9.5,4.7,39,New Zealand,12.5,2016,https://groceries.morrisons.com/products/brancott-estate-sauvignon-blanc-white-wine-119927011
white,75,Daybreak Sauvignon Blanc,8,4.2,6,New Zealand,12,2017,https://groceries.morrisons.com/products/daybreak-sauvignon-blanc-406231011
