,name,country,wine_type,year,scaled_price,score,num_review,abv,age,size(cL),logprice
3337,Espectacle,Spain,red,2019.0,107.51,0.0,3,14.8,3.0,75.0,2.0314488618593836
3338,Abadia da Cova,Spain,red,2019.0,12.44,0.0,0,13.0,3.0,75.0,1.0948203803547998
3339,Petit Hipperia,Spain,red,2019.0,17.07,0.0,0,14.5,3.0,75.0,1.2322335211147337
3340,Verónica Ortega Quite,Spain,red,2021.0,15.92,0.0,1,13.5,1.0,75.0,1.2019430634016501
3341,Negre de Negres,Spain,red,,49.42,0.0,0,14.0,,75.0,1.6939027410660605
3342,Finca El Terrerazo Vino de Pago,Spain,red,2019.0,26.04,0.0,1,14.0,3.0,75.0,1.4156409798961542
3343,Urbión Reserva,Spain,red,2007.0,18.53,0.0,0,13.0,15.0,75.0,1.2678754193188977
3344,Urbión Cuvée,Spain,red,2019.0,8.41,0.0,0,13.0,3.0,75.0,0.9247959957979122
3345,Quintessa,United States,red,2018.0,161.65,0.0,0,14.5,4.0,75.0,2.208575708947575
3346,Thalarn,Spain,red,2017.0,33.42,0.0,0,13.5,5.0,75.0,1.5240064455573725
3347,Clos Baltasar,Spain,red,2020.0,14.46,0.0,1,14.0,2.0,75.0,1.160168292958512
3348,Sierra Cantabria El Bosque,Spain,red,2020.0,92.58,0.0,1,14.5,2.0,75.0,1.966517176446792
3349,La Vinya del Boter,Spain,red,2021.0,15.14,0.0,1,12.5,1.0,75.0,1.180125875164054
3350,Puerta Vieja Crianza Selección,Spain,red,2019.0,8.58,0.0,0,13.5,3.0,75.0,0.9334872878487055
3351,Suertes del Marqués Candio,Spain,red,2018.0,26.51,0.0,0,14.8,4.0,75.0,1.4234097277330935
3352,Las Moradas de San Martín Initio,Spain,red,2017.0,15.19,0.0,0,15.0,5.0,75.0,1.1815577738627863
3353,Matsu El Recio,Spain,red,2020.0,15.79,0.0,5,14.5,2.0,75.0,1.1983821300082942
3354,Almanova,Spain,red,2020.0,13.08,0.0,0,12.0,2.0,75.0,1.1166077439882485
3355,Fuentespina 3 Meses Roble,Spain,red,2020.0,8.54,0.0,3,13.5,2.0,75.0,0.931457870689005
3356,El Petit Carlania,Spain,red,2019.0,11.5,0.0,2,12.0,3.0,75.0,1.0606978403536116
3357,Claus Preisinger Kalkestein Blaufränkisch,Austria,red,2021.0,17.07,0.0,0,12.5,1.0,75.0,1.2322335211147337
3358,Bucci Rosso Piceno Pongelli,Italy,red,2019.0,15.79,0.0,0,13.5,3.0,75.0,1.1983821300082942
3359,Hacienda el Ternero Selección,Spain,red,2015.0,13.86,0.0,1,13.5,7.0,75.0,1.1417632302757879
3360,Vara y Pulgar,Spain,red,2018.0,,0.0,0,13.5,4.0,75.0,
3361,Allegrini Amarone della Valpolicella Classico,Italy,red,2018.0,,0.0,0,16.0,4.0,75.0,
3362,Vetus,Spain,red,2018.0,16.73,0.0,2,14.5,4.0,75.0,1.2234959409623944
3363,Vega Sicilia Único Reserva Especial,Spain,red,2022.0,407.86,0.0,0,14.0,0.0,75.0,2.6105111149000844
3364,Vega Sicilia Único Reserva Especial,Spain,red,2022.0,407.86,0.0,0,14.0,0.0,75.0,2.6105111149000844
3365,Pagos de Galir Mencía,Spain,red,2019.0,10.81,0.0,1,13.5,3.0,75.0,1.0338256939533104
3366,Valenciso Reserva,Spain,red,2016.0,19.39,0.0,5,14.5,6.0,75.0,1.2875778090787053
3367,Los Frailes Caliza,Spain,red,2020.0,14.97,0.0,0,14.0,2.0,75.0,1.1752218003430523
3368,Quinta Milú La Cometa,Spain,red,2020.0,15.83,0.0,0,14.0,2.0,75.0,1.199480914862356
3369,Labros,Spain,red,2018.0,19.39,0.0,0,14.5,4.0,75.0,1.2875778090787053
3370,Parajes de Cabriel,Spain,red,2020.0,8.97,0.0,0,12.5,2.0,75.0,0.9527924430440922
3371,Pasos de San Martín,Spain,red,2018.0,15.32,0.0,0,14.5,4.0,75.0,1.1852587652965851
3372,Casa Castillo La Tendida,Spain,red,2020.0,13.21,0.0,1,14.5,2.0,75.0,1.1209028176145273
3373,Radoar Zweigelt,Italy,red,2019.0,14.02,0.0,0,13.0,3.0,75.0,1.1467480136306398
3374,Corullón,Spain,red,2020.0,42.21,0.0,3,14.0,2.0,75.0,1.6254153521544081
3375,Termanthia,Spain,red,2015.0,220.21,0.0,1,14.5,7.0,75.0,2.342837036916425
3376,Alamos Malbec,Argentina,red,2021.0,10.34,0.0,0,13.3,1.0,75.0,1.0145205387579237
3377,Martinet Bru,Spain,red,2020.0,22.48,0.0,3,14.5,2.0,75.0,1.3517963068970236
3378,Briego Vendimia Seleccionada,Spain,red,2020.0,9.87,0.0,0,14.0,2.0,75.0,0.9943171526696367
3379,La del Terreno Monastrell,Spain,red,2020.0,19.69,0.0,0,14.0,2.0,75.0,1.2942457161381182
3380,El Vínculo Crianza,Spain,red,2018.0,12.23,0.0,3,14.5,4.0,75.0,1.0874264570362855
3381,COS Nero di Lupo,Italy,red,2020.0,19.1,0.0,0,12.5,2.0,75.0,1.2810333672477277
3382,Sierra Cantabria El Bosque,Spain,red,2020.0,92.58,0.0,1,14.5,2.0,75.0,1.966517176446792
3383,Coto de Hayas Reserva Viñas del Cierzo,Spain,red,2016.0,10.21,0.0,3,14.0,6.0,75.0,1.0090257420869102
3384,Sonsierra Crianza Vendimia Seleccionada,Spain,red,2018.0,10.81,0.0,0,13.5,4.0,75.0,1.0338256939533104
3385,Clos MontBlanc Syrah Únic,Spain,red,2019.0,11.71,0.0,0,14.0,3.0,75.0,1.0685568950723632
3386,Monasterio de las Viñas Reserva,Spain,red,2017.0,8.41,0.0,0,13.0,5.0,75.0,0.9247959957979122
3387,Fuera del Rebaño,Spain,red,2019.0,12.83,0.0,0,14.3,3.0,75.0,1.1082266563749286
3388,Glorioso Crianza,Spain,red,2018.0,8.58,4.5,11,14.0,4.0,75.0,0.9334872878487055
3389,Finca Constancia,Spain,red,2018.0,8.58,0.0,3,14.0,4.0,75.0,0.9334872878487055
3390,Torremorón Tinto Roble,Spain,red,2021.0,7.98,0.0,2,13.5,1.0,75.0,0.9020028913507294
3391,Encomienda de la Vega,Spain,red,2020.0,8.11,0.0,2,14.5,2.0,75.0,0.909020854211156
3392,Espelt VidiVi,Spain,red,2021.0,10.08,0.0,0,14.0,1.0,75.0,1.0034605321095065
3393,Alonso del Yerro,Spain,red,2018.0,22.95,0.0,1,15.0,4.0,75.0,1.36078268987328
3394,Gresa,Spain,red,2015.0,23.34,0.0,0,14.0,7.0,75.0,1.3681008517093514
3395,Conde Siruela Roble,Spain,red,2019.0,9.57,0.0,1,13.5,3.0,75.0,0.9809119377768436
3396,Matsu collection in a case,Spain,red,,65.38,0.0,4,15.0,,75.0,1.8154449162443502
3397,Cap de Barbaria,Spain,red,2016.0,33.51,0.0,0,14.5,6.0,75.0,1.5251744278352715
3398,Mano a Mano,Spain,red,2019.0,8.92,0.0,1,13.5,3.0,75.0,0.9503648543761231
3399,Terroir Sense Fronteres Negre 2018,Spain,red,2021.0,18.53,0.0,0,13.0,1.0,75.0,1.2678754193188977
3400,Acústic Celler Braó Vinyes Velles,Spain,red,2019.0,21.36,0.0,0,15.0,3.0,75.0,1.3296012483565187
3401,Berola,Spain,red,2018.0,12.48,0.0,1,14.5,4.0,75.0,1.0962145853464051
3402,Bernat Oller,Spain,red,2018.0,16.77,0.0,1,13.5,4.0,75.0,1.2245330626060857
3403,Finca Valpiedra Reserva,Spain,red,2015.0,19.95,0.0,1,13.5,7.0,75.0,1.299942900022767
3404,Viñas Elías Mora,Spain,red,2020.0,11.54,0.0,2,14.5,2.0,75.0,1.0622058088197126
3405,Clos Fontà,Spain,red,2016.0,51.14,0.0,0,15.0,6.0,75.0,1.7087607236903166
3406,Ares Crianza,Spain,red,2012.0,9.91,0.0,0,14.0,10.0,75.0,0.9960736544852753
3407,Gallinas y Focas,Spain,red,2019.0,22.05,0.0,0,14.0,3.0,75.0,1.3434085938038574
3408,Castro Candaz A Boca do Demo,Spain,red,2019.0,26.68,0.0,0,13.0,3.0,75.0,1.4261858252445114
3409,Bardos Reserva,Spain,red,2018.0,17.28,4.5,6,14.5,4.0,75.0,1.2375437381428744
3410,Sa Natura Negre Eco,Spain,red,2017.0,11.88,0.0,0,14.0,5.0,75.0,1.0748164406451748
3411,Abadía de Gomariz,Spain,red,2017.0,14.8,0.0,1,14.0,5.0,75.0,1.1702617153949575
3412,LaFou El Sender,Spain,red,2019.0,12.78,0.0,3,14.5,3.0,75.0,1.1065308538223813
3413,Valderiz Sitio de Valdehermoso,Spain,red,2021.0,10.17,0.0,2,14.0,1.0,75.0,1.0073209529227445
3414,Montecillo Gran Reserva,Spain,red,2011.0,19.05,0.0,0,13.0,11.0,75.0,1.2798949800116382
3415,Monte Real Gran Reserva Edición Limitada,Spain,red,1998.0,35.26,0.0,0,13.5,24.0,75.0,1.5472823079633031
3416,Esporão Colheita Red,Portugal,red,2020.0,12.96,0.0,0,14.0,2.0,75.0,1.1126050015345745
3417,Cascina Fontana barbera d'Alba,Italy,red,2019.0,21.3,0.0,0,14.0,3.0,75.0,1.3283796034387378
3418,Perelada Finca La Garriga Samsó,Spain,red,2016.0,16.39,0.0,3,14.0,6.0,75.0,1.2145789535704992
3419,Lavia Plus +,Spain,red,2016.0,15.87,0.0,1,14.5,6.0,75.0,1.2005769267548483
3420,Perelada Ex Ex 12,Spain,red,2013.0,48.95,0.0,1,14.3,9.0,75.0,1.6897526961391567
3421,Paso a Paso Tempranillo,Spain,red,2020.0,8.67,0.0,1,14.0,2.0,75.0,0.9380190974762103
3422,Tornatore Etna Rosso,Italy,red,2018.0,18.06,0.0,0,13.5,4.0,75.0,1.256717745977487
3423,Pardas Collita Roja,Spain,red,2016.0,22.78,0.0,0,13.5,6.0,75.0,1.3575537197430816
3424,El Pedal,Spain,red,2020.0,9.91,0.0,1,13.5,2.0,75.0,0.9960736544852753
3425,Heras Cordón Reserva,Spain,red,2015.0,17.63,0.0,1,14.0,7.0,75.0,1.246252312299322
3426,Damana 5,Spain,red,2020.0,9.48,0.0,0,13.5,2.0,75.0,0.9768083373380663
3427,Mauro Terreus Paraje de Cueva Baja,Spain,red,2020.0,88.93,0.0,2,14.5,2.0,75.0,1.9490482923156638
3428,Ultreia Mencía,Spain,red,2019.0,16.6,0.0,4,13.5,3.0,75.0,1.2201080880400552
3429,Ternario 2,Spain,red,2016.0,12.57,0.0,0,13.5,6.0,75.0,1.0993352776859577
3430,Artadi Viñas de Gaín,Spain,red,2020.0,20.72,0.0,3,14.0,2.0,75.0,1.3163897510731954
3431,Martín Berdugo Crianza,Spain,red,2019.0,13.51,0.0,0,14.5,3.0,75.0,1.1306553490220306
