name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score
Mancura Carignan 2018,14.0,2018,75.0,Chile,Red Wine,10.99,1.0,5.0,https://www.laithwaites.co.uk/product/Mancura-Carignan-2018/4235518,CHL,10.99,1.0409976924234905,10.99,4.0,0.0
RedHeads Coco Rôtie 2019,14.5,2019,75.0,Australia,Red Wine,14.99,134.0,3.9,https://www.laithwaites.co.uk/product/RedHeads-Coco-R%C3%B4tie-2019/2543019,AUS,14.99,1.1758016328482794,14.99,3.0,3.9
Purezza Organic Red 2020,13.5,2020,75.0,Italy,Red Wine,9.99,6.0,4.2,https://www.laithwaites.co.uk/product/Purezza-Organic-Red-2020/4214120,ITA,9.99,0.9995654882259823,9.99,2.0,4.2
Altos de la Guardia Crianza Rioja 2011,14.0,2011,75.0,Spain,Red Wine,17.99,31.0,3.5,https://www.laithwaites.co.uk/product/Altos-de-la-Guardia-Crianza-Rioja-2011/1516111,ESP,17.99,1.2550311633455513,17.99,11.0,3.5
Charles Cros 2021,13.5,2021,75.0,France,Red Wine,11.99,139.0,4.3,https://www.laithwaites.co.uk/product/Charles-Cros-2021/3982021,FRA,11.99,1.0788191830988487,11.99,1.0,4.3
Langmeil Offspring Cabernet Sauvignon 2018,15.0,2018,75.0,Australia,Red Wine,23.0,4.0,3.5,https://www.laithwaites.co.uk/product/Langmeil-Offspring-Cabernet-Sauvignon-2018/4178118,AUS,23.0,1.3617278360175928,23.0,4.0,0.0
Aluado Alicante Bouschet Reserva 2019,13.5,2019,75.0,Portugal,Red Wine,16.99,95.0,4.3,https://www.laithwaites.co.uk/product/Aluado-Alicante-Bouschet-Reserva-2019/3547519,PRT,16.99,1.2301933788690456,16.99,3.0,4.3
Long Live The King Cabernet Sauvignon 2021,14.0,2021,75.0,Australia,Red Wine,11.99,474.0,3.8,https://www.laithwaites.co.uk/product/Long-Live-The-King-Cabernet-Sauvignon-2021/1960721,AUS,11.99,1.0788191830988487,11.99,1.0,3.8
Andrew's Reserve Shiraz 2020,14.5,2020,75.0,Australia,Red Wine,9.99,43.0,4.2,https://www.laithwaites.co.uk/product/Andrew's-Reserve-Shiraz-2020/4125520,AUS,9.99,0.9995654882259823,9.99,2.0,4.2
Il Poeta Barolo 2017,14.5,2017,75.0,Italy,Red Wine,27.0,14.0,3.1,https://www.laithwaites.co.uk/product/Il-Poeta-Barolo-2017/2114717,ITA,27.0,1.4313637641589874,27.0,5.0,3.1
Los Vascos Cabernet Sauvignon Cuvée Especial 2019,14.0,2019,75.0,Chile,Red Wine,14.99,121.0,3.7,https://www.laithwaites.co.uk/product/Los-Vascos-Cabernet-Sauvignon-Cuv%C3%A9e-Especial-2019/0929419,CHL,14.99,1.1758016328482794,14.99,3.0,3.7
Casa Silva Selección Especial Cabernet Sauvignon Carmenère 2021,13.5,2021,75.0,Chile,Red Wine,13.49,19.0,3.9,https://www.laithwaites.co.uk/product/Casa-Silva-Selecci%C3%B3n-Especial-Cabernet-Sauvignon-Carmen%C3%A8re-2021/4135221,CHL,13.49,1.1300119496719043,13.49,1.0,3.9
Purple Owl Pinot Noir 2021,13.5,2021,75.0,USA,Red Wine,14.99,32.0,3.6,https://www.laithwaites.co.uk/product/Purple-Owl-Pinot-Noir-2021/2531521,unknown,14.99,1.1758016328482794,14.99,1.0,3.6
Amoras 2020,13.0,2020,75.0,Portugal,Red Wine,10.49,686.0,4.1,https://www.laithwaites.co.uk/product/Amoras-2020/0287320,PRT,10.49,1.0207754881935578,10.49,2.0,4.1
