name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score
Le Zeitgeist Grenache Syrah 2021,13.0,2021,75.0,France,Red,10.99,0,0.0,https://www.virginwines.co.uk/wine/Z42196101414/Le-Zeitgeist-Grenache-Syrah,FRA,10.99,1.0409976924234905,10.99,1.0,0.0
Abel Mendoza Rioja DOCa Jarrarte Blanco 2021,14.0,2021,75.0,Spain,White,15.99,0,0.0,https://www.virginwines.co.uk/wine/Z42140101434/Abel-Mendoza-Rioja-DOCa-Jarrarte-Blanco,ESP,15.99,1.2038484637462348,15.99,1.0,0.0
Capcanes Sense Cap DO Cava NV,11.5,NV,75.0,Spain,Sparkling,14.99,0,0.0,https://www.virginwines.co.uk/wine/Z42100101434/Capcanes-Sense-Cap-DO-Cava,ESP,14.99,1.1758016328482794,14.99,,0.0
Capcanes Mas Torto Garnacha 2020,11.5,2020,75.0,Spain,Red,24.99,0,0.0,https://www.virginwines.co.uk/wine/Z42099101434/Capcanes-Mas-Torto-Garnacha,ESP,24.99,1.39776625612645,24.99,2.0,0.0
De Martino Enigma 10 Special Edition 2021,14.0,2021,75.0,Chile,Red,19.99,0,0.0,https://www.virginwines.co.uk/wine/Z42077100741/De-Martino-Enigma-10-Special-Edition,CHL,19.99,1.300812794118117,19.99,1.0,0.0
Magic & Bird Padthaway Shiraz 2021,14.0,2021,75.0,Australia,Red,16.99,2,5.0,https://www.virginwines.co.uk/wine/Z41930102291/Magic-and-Bird-Padthaway-Shiraz,AUS,16.99,1.2301933788690456,16.99,1.0,0.0
Revino Montepulciano d'Abruzzo 2020,13.0,2020,75.0,Italy,Red,10.99,25,2.2,https://www.virginwines.co.uk/wine/Z42019100790/Revino-Montepulciano-dAbruzzo,ITA,10.99,1.0409976924234905,10.99,2.0,2.2
Rustle & Hustle Wine Co. Langhorne Creek Shiraz 2021,14.5,2021,75.0,Australia,Red,11.99,12,4.2,https://www.virginwines.co.uk/wine/Z41913102291/Rustle-and-Hustle-Wine-Co.-Langhorne-Creek-Shiraz,AUS,11.99,1.0788191830988487,11.99,1.0,4.2
The Pullhams Bin 22 Barossa Valley Shiraz 2022,14.0,2022,75.0,Australia,Red,19.99,92,4.6,https://www.virginwines.co.uk/wine/Z36686102291/The-Pullhams-Bin-22-Barossa-Valley-Shiraz,AUS,19.99,1.300812794118117,19.99,0.0,4.6
Vat 39 Clare Valley Shiraz Viognier 2019,14.0,2019,75.0,Australia,Red,17.99,30,4.5,https://www.virginwines.co.uk/wine/Z41288102291/Vat-39-Clare-Valley-Shiraz-Viognier-Z41288102291,AUS,17.99,1.2550311633455513,17.99,3.0,4.5
