rating,num_review,wine_type,size(cL),name,price,country,abv,year,url,age,score,scaled_price,logprice,countrycode,price_fixed
0.0,0,red,75.0,Torre del Veguer Jeronimus,16.95,Spain,14.0,2019.0,https://www.decantalo.com/uk/en/torre-del-veguer-jeronimus.html#/1-volume-75_cl/114-year-2019,3.0,0.0,16.95,1.2291697025391009,ESP,16.95
0.0,0,red,75.0,Badenhorst Ramnasgras Cinsault,,South Africa,12.5,2020.0,https://www.decantalo.com/uk/en/badenhorst-ramnasgras-cinsault.html#/1-volume-75_cl/158-year-2020,2.0,0.0,,,ZAF,
0.0,0,red,75.0,Newton Johnson Full Stop Rock Red Blend,18.85,South Africa,13.9,2018.0,https://www.decantalo.com/uk/en/newton-johnson-full-stop-rock-red-blend.html#/1-volume-75_cl/111-year-2018,4.0,0.0,18.85,1.2753113545418118,ZAF,18.85
0.0,0,red,75.0,Domaine Michel Noëllat Bourgogne Pinot Noir,29.77,France,13.0,2017.0,https://www.decantalo.com/uk/en/domaine-michel-noellat-bourgogne-pinot-noir.html#/1-volume-75_cl/180-year-2017,5.0,0.0,29.77,1.4737788346467247,FRA,29.77
0.0,0,red,75.0,Newton Johnson Family Vineyards Pinot Noir,,South Africa,13.5,2019.0,https://www.decantalo.com/uk/en/newton-johnson-family-vineyards-pinot-noir.html#/1-volume-75_cl/114-year-2019,3.0,0.0,,,ZAF,
0.0,0,red,75.0,Sarnin - Berrux Borgogne Passe Tout Grains,22.78,France,12.5,2018.0,https://www.decantalo.com/uk/en/sarnin-berrux-borgogne-passe-tout-grains.html#/1-volume-75_cl/111-year-2018,4.0,0.0,22.78,1.3575537197430816,FRA,22.78
0.0,0,red,75.0,Sarnin - Berrux Bourgogne Pinot Noir,25.18,France,12.5,2019.0,https://www.decantalo.com/uk/en/sarnin-berrux-bourgogne-pinot-noir.html#/1-volume-75_cl/114-year-2019,3.0,0.0,25.18,1.401055725771844,FRA,25.18
0.0,0,red,75.0,Sarnin - Berrux Saint-Romain,35.14,France,13.5,2017.0,https://www.decantalo.com/uk/en/sarnin-berrux-saint-romain.html#/1-volume-75_cl/180-year-2017,5.0,0.0,35.14,1.5458017571592761,FRA,35.14
0.0,0,red,75.0,Sarnin - Berrux Monthelie,37.74,France,13.5,2018.0,https://www.decantalo.com/uk/en/sarnin-berrux-monthelie.html#/1-volume-75_cl/111-year-2018,4.0,0.0,37.74,1.5768018958289125,FRA,37.74
0.0,0,red,75.0,Roger Sabon Le Sabounet Rouge,,France,13.5,,https://www.decantalo.com/uk/en/roger-sabon-le-sabounet-rouge.html#/1-volume-75_cl/177-year-without_vintage,,0.0,,,FRA,
0.0,0,red,75.0,Roger Sabon Lirac,,France,13.5,2020.0,https://www.decantalo.com/uk/en/roger-sabon-lirac.html#/1-volume-75_cl/158-year-2020,2.0,0.0,,,FRA,
0.0,0,red,75.0,Roger Sabon Châteauneuf-du-Pape Le Secret des Sabon,122.55,France,15.5,2019.0,https://www.decantalo.com/uk/en/roger-sabon-chateauneuf-du-pape-le-secret-des-sabon.html#/1-volume-75_cl/114-year-2019,3.0,0.0,122.55,2.088313315588097,FRA,122.55
0.0,0,red,75.0,Roger Sabon Châteauneuf-du-Pape Prestige,,France,15.5,2019.0,https://www.decantalo.com/uk/en/roger-sabon-chateauneuf-du-pape-prestige.html#/1-volume-75_cl/114-year-2019,3.0,0.0,,,FRA,
0.0,0,red,75.0,Mazzei Poggio Badiola,,Italy,12.75,2019.0,https://www.decantalo.com/uk/en/mazzei-poggio-badiola.html#/1-volume-75_cl/114-year-2019,3.0,0.0,,,ITA,
0.0,0,red,75.0,Tenuta Belguardo,37.58,Italy,14.0,2017.0,https://www.decantalo.com/uk/en/tenuta-belguardo.html#/1-volume-75_cl/180-year-2017,5.0,0.0,37.58,1.5749567757645069,ITA,37.58
